"Current ISBN-13 Complete"	"Ausgabennr."	"Current Project No"	"Description"	"Notification No"	"No_ Series"	"Serial Nos_"	"Series Code"	"Current Print Run No"	"Edition Group"	"Genre Code"	"Imprint Code"	"Item Disc Group "	"Item Type Code"	"Publication Date Edition"
"9783525450147"	"1002601"	"P1039596"	"Wozu leben wir?"	"18"	""	""	"052"	"1"	"4070"	"PSYCH/MED"	"VR"	"210"	"BUCH"	"07.08.2007"
"9783647997285"	"1037814"	"P1039134"	"Widerstand und Fürsorge"	"2"	""	""	"785"	"1"	"4070"	"PSYCH/MED"	"VRE"	"231"	"EPUB"	"01.01.1753"
"9783525513743"	"102818"	"102818"	"Der Brief an die Hebräer"	"2"	""	""	"516"	"13"	"5100"	"WISS.THEO"	"VR"	"100"	"BUCH"	"12.04.1991"
"9783525536186"	"1035168"	"P1036174"	"The Medieval Revision of the Ambrosian Hexateuch"	"21"	""	""	"058"	"1"	"5300"	"WISS.THEO"	"VR"	"210"	"BUCH"	"01.01.1753"
"9783525351192"	"1005811"	"P1006646"	"Israel und die Geister von ’68"	"21"	""	""	"915"	"1"	"3100"	"GESCH"	"VR"	"210"	"BUCH"	"01.01.1753"
"9783666550317"	"1035339"	"P1036352"	"Melanchthon und die Reformierte Tradition"	"21"	""	""	"416"	"1"	"5500"	"WISS.THEO"	"VRP"	"231"	"E-BOOK"	"01.01.1753"
"9783647558400"	"1006813"	"P1007648"	"Generalreform"	"21"	""	""	"020"	"1"	"5500"	"WISS.THEO"	"VRE"	"231"	"E-BOOK"	"01.01.1753"
"9783666558405"	"1037383"	"P1038620"	"Generalreform"	"21"	""	""	"020"	"1"	"5500"	"WISS.THEO"	"VRP"	""	"E-BOOK"	"01.01.1753"
"9783525550410"	"1008682"	"P1009624"	"Melanchthon and Calvin on Confession and Communion"	"21"	""	""	"416"	"1"	"5500"	"WISS.THEO"	"VR"	"210"	"BUCH"	"01.01.1753"
"9783525701782"	"1037409"	"P1038644"	"Lesen ist cool!"	"21"	""	""	""	"1"	"7010"	"SCHULE"	"VR"	"100"	"BUCH"	"01.01.1753"
"9783525310038"	"1008673"	"P1009616"	"Regesta Pontificum Romanorum"	"21"	""	""	"270"	"1"	"3100"	"GESCH"	"VR"	"210"	"BUCH"	"01.01.1753"
"9783525776889"	"1037444"	"P1038712"	"Die Schätze des Franziskus von Assisi"	"21"	""	""	""	"1"	"7700"	"UNTERRICHT"	"VR"	"150"	"E-KOMBI"	"01.01.1753"
"9783525550311"	"1008768"	"P1009742"	"Melanchthon und die Reformierte Tradition"	"21"	""	""	"416"	"1"	"5500"	"WISS.THEO"	"VR"	"210"	"BUCH"	"01.01.1753"
"9783847104117"	"1037485"	"P1038770"	"The Mamluk Sultanate from the Perspective of Regio"	"21"	""	""	"3085"	"1"	"U3110"	"GESCHICHTE"	"UNIPRESS6"	"U211"	"BUCH"	"01.01.1753"
"9783647550312"	"1009636"	"P1010633"	"Melanchthon und die Reformierte Tradition"	"21"	""	""	"416"	"1"	"5500"	"WISS.THEO"	"VRE"	"231"	"E-BOOK"	"01.01.1753"
"9783647301730"	"1037527"	"P1038793"	"Handbuch einer transnationalen Geschichte Ostmitte"	"21"	""	""	"921"	"1"	"3100"	"GESCH"	"VRE"	"231"	"E-BOOK"	"01.01.1753"
"9783647550411"	"1010794"	"P1011853"	"Melanchthon and Calvin on Confession and Communion"	"21"	""	""	"416"	"1"	"5500"	"WISS.THEO"	"VRE"	"231"	"E-BOOK"	"01.01.1753"
"9783666301735"	"1037528"	"P1038794"	"Handbuch einer transnationalen Geschichte Ostmitte"	"21"	""	""	"921"	"1"	"3100"	"GESCH"	"VRP"	"231"	"E-BOOK"	"01.01.1753"
"9783525558409"	"1003722"	"P1004341"	"Generalreform"	"21"	""	""	"020"	"1"	"5500"	"WISS.THEO"	"VR"	"210"	"BUCH"	"01.01.1753"
"9783525310298"	"1037539"	"P1038808"	"Glauben im Hinterland"	"21"	""	""	"688"	"1"	"3100"	"GESCH"	"VR"	"210"	"BUCH"	"01.01.1753"
"9783525301739"	"1011302"	"P1012413"	"Handbuch einer transnationalen Geschichte Ostmitte"	"21"	""	""	"921"	"1"	"3100"	"GESCH"	"VR"	"210"	"BUCH"	"01.01.1753"
"9783666701757"	"1037547"	"P1038825"	"Trisomie 21 – Was wir von Menschen mit Down-Syndro"	"21"	""	""	""	"1"	"7010"	"UNTERRICHT"	"VRP"	"231"	"E-BOOK"	"01.01.1753"
"9783525370391"	"1011400"	"P1012528"	"Jahre der Ungewissheit"	"21"	""	""	"779"	"1"	"3100"	"GEIST"	"VR"	"210"	"BUCH"	"01.01.1753"
"9783525580431"	"1037573"	"P1038868"	"Sterben, Tod und Trauer in der Schule"	"21"	""	""	""	"2"	"7020"	"UNTERRICHT"	"VR"	"150"	"BUCH"	"01.01.1753"
"9783525701751"	"1012111"	"P1013306"	"Trisomie 21 – Was wir von Menschen mit Down-Syndro"	"21"	""	""	""	"1"	"7010"	"SCHULE"	"VR"	"100"	"BUCH"	"01.01.1753"
"9783647310299"	"1037590"	"P1038889"	"Glauben im Hinterland"	"21"	""	""	"688"	"1"	"3100"	"GESCH"	"VRE"	"231"	"E-BOOK"	"01.01.1753"
"9783666310294"	"1037591"	"P1038890"	"Glauben im Hinterland"	"21"	""	""	"688"	"1"	"3100"	"GESCH"	"VRP"	"231"	"E-BOOK"	"01.01.1753"
"9783647776880"	"1037607"	"P1038906"	"Die Schätze des Franziskus von Assisi "	"21"	""	""	""	"1"	"7700"	"UNTERRICHT"	"VRE"	"231"	"E-BOOK"	"01.01.1753"
"9783525300787"	"1035754"	"P1036820"	"Vorgeschichte der Gegenwart"	"21"	""	""	"534"	"1"	"3100"	"GESCH"	"VR"	"210"	"BUCH"	"01.01.1753"
"9783647370392"	"1037618"	"P1038921"	"Jahre der Ungewissheit"	"21"	""	""	"779"	"1"	"3100"	"GEIST"	"VRE"	"231"	"E-BOOK"	"01.01.1753"
"9783666370397"	"1037619"	"P1038922"	"Jahre der Ungewissheit"	"21"	""	""	"779"	"1"	"3100"	"GEIST"	"VRP"	"231"	"E-BOOK"	"01.01.1753"
"9783647300788"	"1037628"	"P1038931"	"Vorgeschichte der Gegenwart"	"21"	""	""	"534"	"1"	"3100"	"GESCH"	"VRE"	"231"	"E-BOOK"	"01.01.1753"
"9783666300783"	"1037629"	"P1038932"	"Vorgeschichte der Gegenwart"	"21"	""	""	"534"	"1"	"3100"	"GESCH"	"VRP"	"231"	"E-BOOK"	"01.01.1753"
"9783647351193"	"1037634"	"P1038937"	"Israel und die Geister von ’68"	"21"	""	""	"915"	"1"	"3100"	"GESCH"	"VRE"	"231"	"E-BOOK"	"01.01.1753"
"9783666351198"	"1037636"	"P1038938"	"Israel und die Geister von ’68"	"21"	""	""	"915"	"1"	"3100"	"GESCH"	"VRP"	"231"	"E-BOOK"	"01.01.1753"
"9783847003298"	"1036480"	"P1037577"	"Wo Gott sich auf die Armen einlässt"	"21"	""	""	"3062"	"1"	"U5000"	"TRJA"	"UNIPRESS6E"	"U230"	"E-BOOK"	"01.01.1753"
"9783847004110"	"1037797"	"P1039117"	"The Mamluk Sultanate from the Perspective of Regio"	"21"	""	""	"3085"	"1"	"U3110"	"GESCHICHTE"	"UNIPRESS6E"	"U230"	"E-BOOK"	"01.01.1753"
"9783737004114"	"1037798"	"P1039118"	"The Mamluk Sultanate from the Perspective of Regio"	"21"	""	""	"3085"	"1"	"U3110"	"GESCHICHTE"	"UNIPRESSP"	"U230"	"E-BOOK"	"01.01.1753"
"9783737003292"	"1036481"	"P1037578"	"Wo Gott sich auf die Armen einlässt"	"21"	""	""	"3062"	"1"	"U5000"	"TRJA"	"UNIPRESSP"	"U230"	"E-BOOK"	"01.01.1753"
"9783666550416"	"1035342"	"P1036355"	"Melanchthon and Calvin on Confession and Communion"	"21"	""	""	"416"	"1"	"5500"	"WISS.THEO"	"VRP"	"231"	"E-BOOK"	"01.01.1753"
"9783847003618"	"1036542"	"P1037639"	"Das Rechtslexikon Qawāʾid al-fiqh und sein Autor"	"21"	""	""	"3085"	"1"	"U3110"	"GESCHICHTE"	"UNIPRESS6E"	"U230"	"E-BOOK"	"01.01.1753"
"9783737003612"	"1036543"	"P1037640"	"Das Rechtslexikon Qawāʾid al-fiqh und sein Autor"	"21"	""	""	"3085"	"1"	"U3110"	"GESCHICHTE"	"UNIPRESSP"	"U230"	"E-BOOK"	"01.01.1753"
"9783525611128"	"1037957"	"P1039292"	"Survival für Eltern"	"21"	""	""	""	"1"	"7010"	"SCHULE"	"VR"	"100"	"BUCH"	"01.01.1753"
"9783525550984"	"1037976"	"P1039352"	"The Covenant of Redemption"	"21"	""	""	"680"	"1"	"5500"	"WISS.THEO"	"VR"	"210"	"BUCH"	"01.01.1753"
"9783525550991"	"1037989"	"P1039372"	"Petrus Martyr Vermigli in Zürich (1556–1562)"	"21"	""	""	"680"	"1"	"5500"	"WISS.THEO"	"VR"	"210"	"BUCH"	"01.01.1753"
"9783647580432"	"1038045"	"P1039458"	"Sterben, Tod und Trauer in der Schule"	"21"	""	""	""	"2"	"7020"	"UNTERRICHT"	"VRE"	"231"	"E-BOOK"	"01.01.1753"
"9783647997346"	"1038046"	"P1039459"	"Sterben, Tod und Trauer in der Schule"	"21"	""	""	""	"2"	"7020"	"UNTERRICHT"	"VRE"	"231"	"EPUB"	"01.01.1753"
"9783525701812"	"1038127"	"P1039625"	"Wider die Verplanung der Kindheit"	"21"	""	""	""	"1"	"7010"	"SCHULE"	"VR"	"100"	"BUCH"	"01.01.1753"
"9783847104513"	"1038133"	"P1039629"	"Spirituelle Kompetenz"	"21"	""	""	"3039"	"1"	"U5000"	"PRAKT.THEO"	"UNIPRESS6"	"U211"	"BUCH"	"01.01.1753"
"9783647701752"	"1035984"	"P1037064"	"Trisomie 21 – Was wir von Menschen mit Down-Syndro"	"21"	""	""	""	"1"	"7010"	"SCHULE"	"VRE"	"231"	"E-BOOK"	"01.01.1753"
"9783525624357"	"1038185"	"P1039696"	"Telefonseelsorge interdisziplinär"	"21"	""	""	"023"	"1"	"5700"	"WISS.THEO"	"VR"	"210"	"BUCH"	"01.01.1753"
"9783525560259"	"1038222"	"P1039737"	"Asia-Pacific between Conflict and Reconciliation"	"21"	""	""	"685"	"1"	"5600"	"WISS.THEO"	"VR"	"210"	"BUCH"	"01.01.1753"
"9783847104650"	"1038235"	"P1039750"	"Celan-Referenzen"	"21"	""	""	""	"1"	"U2130"	"GERMANIST"	"UNIPRESS6"	"U211"	"BUCH"	"01.01.1753"
"9783847104759"	"1038286"	"P1039819"	"Bild-Konzeptionen in Bilder- und Kinderbibeln"	"21"	""	""	"3039"	"1"	"U5000"	"PRAKT.THEO"	"UNIPRESS6"	"U211"	"BUCH"	"01.01.1753"
"9783847104797"	"1038301"	"P1039831"	"Transkulturalität nationaler Räume in Europa (18. "	"21"	""	""	"3065"	"1"	"U2120"	"GEIST"	"UNIPRESS6"	"U211"	"BUCH"	"01.01.1753"
"9783647996486"	"1035985"	"P1037065"	"Trisomie 21 – Was wir von Menschen mit Down-Syndro"	"21"	""	""	""	"1"	"7010"	"SCHULE"	"VRE"	"231"	"EPUB"	"01.01.1753"
"9783647701783"	"1038365"	"P1039925"	"Lesen ist cool!"	"21"	""	""	""	"1"	"7010"	"SCHULE"	"VRE"	"231"	"E-BOOK"	"01.01.1753"
"9783647997384"	"1038366"	"P1039926"	"Lesen ist cool!"	"21"	""	""	""	"1"	"7010"	"SCHULE"	"VRE"	"231"	"EPUB"	"01.01.1753"
"9783666701788"	"1038367"	"P1039927"	"Lesen ist cool!"	"21"	""	""	""	"1"	"7010"	"SCHULE"	"VRP"	"231"	"E-BOOK"	"01.01.1753"
"9783847104933"	"1038395"	"P1039958"	"Anthropologie und Naturrecht bei Johann Georg Hama"	"21"	""	""	"3135"	"1"	"U6000"	"GEISTGESEL"	"UNIPRESS6"	"U211"	"BUCH"	"01.01.1753"
"9783847004516"	"1038431"	"P1040000"	"Spirituelle Kompetenz"	"21"	""	""	"3039"	"1"	"U5000"	"PRAKT.THEO"	"UNIPRESS6E"	"U230"	"E-BOOK"	"01.01.1753"
"9783847104964"	"1038451"	"P1040021"	"Militärische Erinnerungskulturen in Preußen im 18."	"21"	""	""	"3100"	"1"	"U3110"	"GESCHICHTE"	"UNIPRESS6"	"U211"	"BUCH"	"01.01.1753"
"9783847105008"	"1038455"	"P1040026"	"Der Begriff natura und seine ethische Relevanz in "	"21"	""	""	""	"1"	"U2300"	"PHILOSOPH"	"UNIPRESS6"	"U211"	"BUCH"	"01.01.1753"
"9783847105022"	"1038457"	"P1040029"	"Die andere deutsche Erinnerung"	"21"	""	""	"3053"	"1"	"U2130"	"GERMANIST"	"UNIPRESS6"	"U211"	"BUCH"	"01.01.1753"
"9783847105169"	"1038475"	"P1040050"	"Narrating and Teaching the Nation"	"21"	""	""	"3061"	"1"	"U6000"	"INTERDISZI"	"UNIPRESS6"	"U211"	"BUCH"	"01.01.1753"
"9783847105183"	"1038483"	"P1040058"	"Pretty in Space"	"21"	""	""	""	"1"	"U3110"	"GESCH"	"UNIPRESS6"	"U211"	"BUCH"	"01.01.1753"
"9783647611129"	"1038495"	"P1040071"	"Survival für Eltern"	"21"	""	""	""	"1"	"7010"	"SCHULE"	"VRE"	""	"E-BOOK"	"01.01.1753"
"9783525253236"	"1035399"	"P1036413"	"exempla imitanda"	"21"	""	""	""	"1"	"2500"	"ALTERTUM"	"VR"	"210"	"BUCH"	"11.01.2016"
"9783847103295"	"1035608"	"P1036639"	"Wo Gott sich auf die Armen einlässt"	"21"	""	""	"3062"	"1"	"U5000"	"TRJA"	"UNIPRESS6"	"U211"	"BUCH"	"01.01.1753"
"9783647536187"	"1036755"	"P1037874"	"The Medieval Revision of the Ambrosian Hexateuch"	"21"	""	""	"058"	"1"	"5300"	"WISS.THEO"	"VRE"	"231"	"E-BOOK"	"01.01.1753"
"9783666536182"	"1036756"	"P1037875"	"The Medieval Revision of the Ambrosian Hexateuch"	"21"	""	""	"058"	"1"	"5300"	"WISS.THEO"	"VRP"	"231"	"E-BOOK"	"01.01.1753"
"9783666611124"	"1038503"	"P1040078"	"Survival für Eltern"	"21"	""	""	""	"1"	"7010"	"SCHULE"	"VRP"	""	"E-BOOK"	"01.01.1753"
"9783647701813"	"1038519"	"P1040092"	"Wider die Verplanung der Kindheit"	"21"	""	""	""	"1"	"7010"	"SCHULE"	"VRE"	""	"E-BOOK"	"01.01.1753"
"9783666701818"	"1038521"	"P1040094"	"Wider die Verplanung der Kindheit"	"21"	""	""	""	"1"	"7010"	"SCHULE"	"VRP"	""	"E-BOOK"	"01.01.1753"
"9783847105220"	"1038533"	"P1040107"	"Menschsein und Religion"	"21"	""	""	"3104"	"1"	"U5000"	"PRAKT.THEO"	"UNIPRESS6"	"U211"	"BUCH"	"01.01.1753"
"9783847105251"	"1038589"	"P1040164"	"Religiöses Lernen im Jugendalter in der orthodoxen"	"21"	""	""	"024"	"1"	"U5000"	"PRAKT.THEO"	"UNIPRESS6"	"U211"	"BUCH"	"01.01.1753"
"9783847004653"	"1038599"	"P1040174"	"Celan-Referenzen"	"21"	""	""	""	"1"	"U2130"	"GERMANIST"	"UNIPRESS6E"	"U230"	"E-BOOK"	"01.01.1753"
"9783737004657"	"1038600"	"P1040175"	"Celan-Referenzen"	"21"	""	""	""	"1"	"U2130"	"GERMANIST"	"UNIPRESSP"	"U230"	"E-BOOK"	"01.01.1753"
"9783647550985"	"1038647"	"P1040230"	"The Covenant of Redemption"	"21"	""	""	"680"	"1"	"5500"	"WISS.THEO"	"VRE"	"231"	"E-BOOK"	"01.01.1753"
"9783666550980"	"1038648"	"P1040231"	"The Covenant of Redemption"	"21"	""	""	"680"	"1"	"5500"	"WISS.THEO"	"VRP"	"231"	"E-BOOK"	"01.01.1753"
"9783647550992"	"1038651"	"P1040234"	"Petrus Martyr Vermigli in Zürich (1556–1562)"	"21"	""	""	"680"	"1"	"5500"	"WISS.THEO"	"VRE"	"231"	"E-BOOK"	"01.01.1753"
"9783666550997"	"1038652"	"P1040235"	"Petrus Martyr Vermigli in Zürich (1556–1562)"	"21"	""	""	"680"	"1"	"5500"	"WISS.THEO"	"VRP"	"231"	"E-BOOK"	"01.01.1753"
"9783847004790"	"1038687"	"P1040270"	"Transkulturalität nationaler Räume in Europa (18. "	"21"	""	""	"3065"	"1"	"U2120"	"GEIST"	"UNIPRESS6E"	"U230"	"E-BOOK"	"01.01.1753"
"9783737004794"	"1038688"	"P1040271"	"Transkulturalität nationaler Räume in Europa (18. "	"21"	""	""	"3065"	"1"	"U2120"	"GEIST"	"UNIPRESSP"	"U230"	"E-BOOK"	"01.01.1753"
"9783647624358"	"1038691"	"P1040274"	"Telefonseelsorge interdisziplinär"	"21"	""	""	"023"	"1"	"5700"	"WISS.THEO"	"VRE"	"231"	"E-BOOK"	"01.01.1753"
"9783666624353"	"1038692"	"P1040275"	"Telefonseelsorge interdisziplinär"	"21"	""	""	"023"	"1"	"5700"	"WISS.THEO"	"VRP"	"231"	"E-BOOK"	"01.01.1753"
"9783647560250"	"1038706"	"P1040289"	"Asia-Pacific between Conflict and Reconciliation"	"21"	""	""	"685"	"1"	"5600"	"WISS.THEO"	"VRE"	"231"	"E-BOOK"	"01.01.1753"
"9783666560255"	"1038707"	"P1040290"	"Asia-Pacific between Conflict and Reconciliation"	"21"	""	""	"685"	"1"	"5600"	"WISS.THEO"	"VRP"	"231"	"E-BOOK"	"01.01.1753"
"9783847103387"	"1035670"	"P1036732"	"Militär und Recht (16.–19. Jahrhundert)"	"21"	""	""	"3100"	"1"	"U3110"	"GESCH"	"UNIPRESS6"	"U211"	"BUCH"	"01.01.1753"
"9783737004510"	"1038770"	"P1040357"	"Spirituelle Kompetenz"	"21"	""	""	"3039"	"1"	"U5000"	"PRAKT.THEO"	"UNIPRESSP"	"U230"	"E-BOOK"	"01.01.1753"
"9783847004936"	"1038773"	"P1040360"	"Anthropologie und Naturrecht bei Johann Georg Hama"	"21"	""	""	"3135"	"1"	"U6000"	"GEISTGESEL"	"UNIPRESS6E"	"U230"	"E-BOOK"	"01.01.1753"
"9783737004930"	"1038774"	"P1040361"	"Anthropologie und Naturrecht bei Johann Georg Hama"	"21"	""	""	"3135"	"1"	"U6000"	"GEISTGESEL"	"UNIPRESSP"	"U230"	"E-BOOK"	"01.01.1753"
"9783847005001"	"1038780"	"P1040368"	"Der Begriff natura und seine ethische Relevanz in "	"21"	""	""	""	"1"	"U2300"	"PHILOSOPH"	"UNIPRESS6E"	"U230"	"E-BOOK"	"01.01.1753"
"9783737005005"	"1038781"	"P1040369"	"Der Begriff natura und seine ethische Relevanz in "	"21"	""	""	""	"1"	"U2300"	"PHILOSOPH"	"UNIPRESSP"	"U230"	"E-BOOK"	"01.01.1753"
"9783847004967"	"1038782"	"P1040370"	"Militärische Erinnerungskulturen in Preußen im 18."	"21"	""	""	"3100"	"1"	"U3110"	"GESCHICHTE"	"UNIPRESS6E"	"U230"	"E-BOOK"	"01.01.1753"
"9783737004961"	"1038783"	"P1040371"	"Militärische Erinnerungskulturen in Preußen im 18."	"21"	""	""	"3100"	"1"	"U3110"	"GESCHICHTE"	"UNIPRESSP"	"U230"	"E-BOOK"	"01.01.1753"
"9783847004752"	"1038791"	"P1040379"	"Bild-Konzeptionen in Bilder- und Kinderbibeln"	"21"	""	""	"3039"	"1"	"U5000"	"PRAKT.THEO"	"UNIPRESS6E"	"U230"	"E-BOOK"	"01.01.1753"
"9783737004756"	"1038792"	"P1040380"	"Bild-Konzeptionen in Bilder- und Kinderbibeln"	"21"	""	""	"3039"	"1"	"U5000"	"PRAKT.THEO"	"UNIPRESSP"	"U230"	"E-BOOK"	"01.01.1753"
"9783847005025"	"1038807"	"P1040395"	"Die andere deutsche Erinnerung"	"21"	""	""	"3053"	"1"	"U2130"	"GERMANIST"	"UNIPRESS6E"	"U230"	"E-BOOK"	"01.01.1753"
"9783737005029"	"1038808"	"P1040396"	"Die andere deutsche Erinnerung"	"21"	""	""	"3053"	"1"	"U2130"	"GERMANIST"	"UNIPRESSP"	"U230"	"E-BOOK"	"01.01.1753"
"9783847005162"	"1038839"	"P1040427"	"Narrating and Teaching the Nation"	"21"	""	""	"3061"	"1"	"U6000"	"INTERDISZI"	"UNIPRESS6E"	"U230"	"E-BOOK"	"01.01.1753"
"9783737005166"	"1038841"	"P1040429"	"Narrating and Teaching the Nation"	"21"	""	""	"3061"	"1"	"U6000"	"INTERDISZI"	"UNIPRESSP"	"U230"	"E-BOOK"	"01.01.1753"
"9783847005186"	"1038843"	"P1040431"	"Pretty in Space"	"21"	""	""	""	"1"	"U3110"	"GESCH"	"UNIPRESS6E"	"U230"	"E-BOOK"	"01.01.1753"
"9783737005180"	"1038846"	"P1040434"	"Pretty in Space"	"21"	""	""	""	"1"	"U3110"	"GESCH"	"UNIPRESSP"	"U230"	"E-BOOK"	"01.01.1753"
"9783847005223"	"1038859"	"P1040448"	"Menschsein und Religion"	"21"	""	""	"3104"	"1"	"U5000"	"PRAKT.THEO"	"UNIPRESS6E"	"U230"	"E-BOOK"	"01.01.1753"
"9783737005227"	"1038860"	"P1040449"	"Menschsein und Religion"	"21"	""	""	"3104"	"1"	"U5000"	"PRAKT.THEO"	"UNIPRESSP"	"U230"	"E-BOOK"	"01.01.1753"
"9783847005254"	"1038868"	"P1040457"	"Religiöses Lernen im Jugendalter in der orthodoxen"	"21"	""	""	"024"	"1"	"U5000"	"PRAKT.THEO"	"UNIPRESS6E"	"U230"	"E-BOOK"	"01.01.1753"
"9783737005258"	"1038869"	"P1040458"	"Religiöses Lernen im Jugendalter in der orthodoxen"	"21"	""	""	"024"	"1"	"U5000"	"PRAKT.THEO"	"UNIPRESSP"	"U230"	"E-BOOK"	"01.01.1753"
"9783847103615"	"1036115"	"P1037202"	"Das Rechtslexikon Qawāʾid al-fiqh und sein Autor"	"21"	""	""	"3085"	"1"	"U3110"	"GESCHICHTE"	"UNIPRESS6"	"U211"	"BUCH"	"01.01.1753"
"9783847105312"	"1038920"	"P1040508"	"Der Friedensvertrag Georgs von Podiebrad von 1464 "	"21"	""	""	"3011"	"1"	"U3110"	"GESCHICHTE"	"UNIPRESS6"	"U211"	"BUCH"	"01.01.1753"
"9783847105299"	"1038924"	"P1040518"	"Hof, Macht, Geschlecht"	"21"	""	""	"3076"	"1"	"U3110"	"GESCHICHTE"	"UNIPRESS6"	"U211"	"BUCH"	"01.01.1753"
"9783847105329"	"1038925"	"P1040519"	"In Kommunikation mit Wort und Raum"	"21"	""	""	"3039"	"1"	"U5000"	"PRAKT.THEO"	"UNIPRESS6"	"U211"	"BUCH"	"01.01.1753"
"9783847105343"	"1038950"	"P1040552"	"Der rechtliche Schutz des Wertes archäologischer K"	"21"	""	""	"3067"	"1"	"U1800"	"WIRTSCHAFT"	"UNIPRESS6"	"U211"	"BUCH"	"01.01.1753"
"9783525454176"	"1034684"	"P1035676"	"Widerstand und Fürsorge"	"22"	""	""	"785"	"1"	"4070"	"PSYCH/MED"	"VR"	"210"	"BUCH"	"01.01.1753"
"9783525300589"	"1035434"	"P1036452"	"Wo liegt die Bundesrepublik?"	"22"	""	""	""	"1"	"3000"	"GESCH"	"VR"	"210"	"BUCH"	"01.01.1753"
"9783525780039"	"1007878"	"P1008772"	"Ethik kompetenzorientiert unterrichten II"	"22"	""	""	""	"1"	"7700"	"UNTERRICHT"	"VR"	"150"	"BUCH"	"01.01.1753"
"9783525806135"	"1037401"	"P1038637"	"Spiritualität als (ein) Weg der Welterfassung"	"22"	""	""	""	"1"	"4090"	"PSYCH/MED"	"VR"	"170"	"BUCH"	"01.01.1753"
"9783525365236"	"1010642"	"P1011678"	"Die deutschen Königspfalzen. Band 5: Bayern"	"22"	""	""	"162"	"1"	"3100"	"GESCH"	"VR"	"210"	"BUCH"	"01.01.1753"
"9783647360805"	"1036352"	"P1037448"	"Erich Maschke "	"22"	""	""	"751"	"1"	"3100"	"GESCH"	"VRE"	"231"	"E-BOOK"	"01.01.1753"
"9783525360804"	"1010935"	"P1012013"	"Erich Maschke "	"22"	""	""	"751"	"1"	"3100"	"GESCH"	"VR"	"210"	"BUCH"	"01.01.1753"
"9783666360800"	"1036353"	"P1037449"	"Erich Maschke "	"22"	""	""	"751"	"1"	"3100"	"GESCH"	"VRP"	"231"	"E-BOOK"	"01.01.1753"
"9783525310274"	"1011122"	"P1012213"	"The Assassination of Symon Petliura and the Trial "	"22"	""	""	"056"	"1"	"3100"	"GESCH"	"VR"	"210"	"BUCH"	"01.01.1753"
"9783666550928"	"1037770"	"P1039090"	"Paul Wernle und Eduard Thurneysen"	"22"	""	""	""	"1"	"5500"	"WISS.THEO"	"VRP"	"231"	"E-BOOK"	"01.01.1753"
"9783525362136"	"109014"	"109014"	"Differenzierung und Integration der niederen Schul"	"22"	""	""	"128"	"1"	"3100"	"GESCH"	"VR"	"210"	"BUCH"	"01.01.1753"
